cid_id,cid_10,descritor_cid
1103,C388,"NEOPLASIA MALIGNA COM LESAO INVASIVA DO CORACAO, MEDIASTINO E PLEURA"
1104,C39,NEOPLASIA MALIGNA DE OUTRAS LOCALIZACOES E DE LOCALIZACOES MAL DEFINIDAS DO AP
1105,C390,"NEOPLASIA MALIGNA DO TRATO RESPIRATORIO SUPERIOR, PORCAO NE"
1106,C398,NEOPLASIA MALIGNA COM LESAO INVASIVA DO APARELHO RESPIRATORIO E DOS ORGAOS INTRA
1107,C399,NEOPLASIA MALIGNA DE LOCALIZACOES MAL DEFINIDAS DO APARELHO RESPIRATORIO
1108,C40,NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES DOS MEMBROS
1109,C400,NEOPLASIA MALIGNA DA OMOPLATA [ESCAPULA] E OSSOS LONGOS DOS MEMBROS SUPERIORES
1110,C401,NEOPLASIA MALIGNA DOS OSSOS CURTOS DOS MEMBROS SUPERIORES
1111,C402,NEOPLASIA MALIGNA DOS OSSOS LONGOS DOS MEMBROS INFERIORES
1112,C403,NEOPLASIA MALIGNA DOS OSSOS CURTOS DOS MEMBROS INFERIORES
1113,C408,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS OSSOS E CARTILAGENS ARTICULARES DOS MEM
1114,C409,NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES DE MEMBRO NE
1115,C41,NEOPLASIA MALIGNA DOS OSSOS E DAS CARTILAGENS ARTICULARES DE OUTRAS LOCALIZACO
1116,C410,NEOPLASIA MALIGNA DOS OSSOS DO CRANIO E DA FACE
1117,C411,NEOPLASIA MALIGNA DA MANDIBULA
1118,C412,NEOPLASIA MALIGNA DA COLUNA VERTEBRAL
1119,C413,"NEOPLASIA MALIGNA DAS COSTELAS, ESTERNO E CLAVICULA"
1120,C414,"NEOPLASIA MALIGNA DOS OSSOS DA PELVE, SACRO E COCCIX"
1121,C418,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS OSSOS E DAS CARTILAGENS ARTICULARES
1122,C419,NEOPLASIA MALIGNA DOS OSSOS E CARTILAGENS ARTICULARES
1123,C43,MELANOMA MALIGNO DA PELE
1124,C430,MELANOMA MALIGNO DO LABIO
1125,C431,"MELANOMA MALIGNO DA PALPEBRA, INCLUINDO AS COMISSURAS PALPEBRAIS"
1126,C432,MELANOMA MALIGNO DA ORELHA E DO CONDUTO AUDITIVO EXTERNO
1127,C433,MELANOMA MALIGNO DE OUTRAS PARTES E PARTES NE DA FACE
1128,C434,MELANOMA MALIGNO DO COURO CABELUDO E DO PESCOCO
1129,C435,MELANOMA MALIGNO DO TRONCO
1130,C436,"MELANOMA MALIGNO DO MEMBRO SUPERIOR, INCLUINDO OMBRO"
1131,C437,"MELANOMA MALIGNO DO MEMBRO INFERIOR, INCLUINDO QUADRIL"
1132,C438,MELANOMA MALIGNO INVASIVO DA PELE
1133,C439,"MELANOMA MALIGNO DE PELE, NE"
1134,C44,OUTRAS NEOPLASIAS MALIGNAS DA PELE
1135,C440,NEOPLASIA MALIGNA DA PELE DO LABIO
1136,C441,"NEOPLASIA MALIGNA DA PELE DA PALPEBRA, INCLUINDO O CANTO"
1137,C442,NEOPLASIA MALIGNA DA PELE DA ORELHA E DO CONDUTO AUDITIVO EXTERNO
1138,C443,NEOPLASIA MALIGNA DA PELE DE OUTRAS PARTES E DE PARTES NE DA FACE
1139,C444,NEOPLASIA MALIGNA DA PELE DO COURO CABELUDO E DO PESCOCO
1140,C445,NEOPLASIA MALIGNA DA PELE DO TRONCO
1141,C446,"NEOPLASIA MALIGNA DA PELE DO MEMBRO SUPERIOR, INCLUINDO OMBRO"
1142,C447,"NEOPLASIA MALIGNA DA PELE DO MEMBRO INFERIOR, INCLUINDO QUADRIL"
1143,C448,NEOPLASIA MALIGNA COM LESAO INVASIVA DA PELE
1144,C449,NEOPLASIA MALIGNA DA PELE
1145,C45,MESOTELIOMA
1146,C450,MESOTELIOMA DA PLEURA
1147,C451,MESOTELIOMA DO PERITONEO
1148,C452,MESOTELIOMA DO PERICARDIO
1149,C457,MESOTELIOMA DE OUTRAS LOCALIZACOES
1150,C459,"MESOTELIOMA, NE"
1151,C46,SARCOMA DE KAPOSI
1152,C460,SARCOMA DE KAPOSI DA PELE
1153,C461,SARCOMA DE KAPOSI DE TECIDOS MOLES
1154,C462,SARCOMA DE KAPOSI DO PALATO
1155,C463,SARCOMA DE KAPOSI DOS GANGLIOS LINFATICOS
1156,C467,SARCOMA DE KAPOSI DE OUTRAS LOCALIZACOES
1157,C468,SARCOMA DE KAPOSI DE MULTIPLOS ORGAOS
1158,C469,"SARCOMA DE KAPOSI, NE"
1159,C47,NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS E DO SISTEMA NERVOSO AUTONOMO
1160,C470,"NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DA CABECA, FACE E PESCOCO"
1161,C471,"NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DOS MEMBROS SUPERIORES, INCLUINDO OMBRO"
1162,C472,"NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DOS MEMBROS INFERIORES, INCLUINDO QUADR"
1163,C473,NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DO TORAX
1164,C474,NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DO ABDOME
1165,C475,NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DA PELVE
1166,C476,NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS DO TRONCO
1167,C478,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS NERVOS PERIFERICOS E DO SISTEMA NERVOSO
1168,C479,NEOPLASIA MALIGNA DOS NERVOS PERIFERICOS E SISTEMA NERVOSO AUTONOMO
1169,C48,NEOPLASIA MALIGNA DOS TECIDOS MOLES DO RETROPERITONIO E DO PERITONIO
1170,C480,NEOPLASIA MALIGNA DO RETROPERITONIO
1171,C481,NEOPLASIA MALIGNA DE PARTES ESPECIFICADAS DO PERITONIO
1172,C482,NEOPLASIA MALIGNA DO PERITONIO
1173,C488,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS TECIDOS MOLES DO RETROPERITONIO E DO PE
1174,C49,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E DE OUTROS TECIDOS MOLES
1175,C490,"NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DA CABECA, FACE E PESCOCO"
1176,C491,"NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DOS MEMBROS SUPERIORES, I"
1177,C492,"NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DOS MEMBROS INFERIORES, I"
1178,C493,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DO TORAX
1179,C494,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DO ABDOME
1180,C495,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DA PELVE
1181,C496,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES DO TRONCO
1182,C498,NEOPLASIA MALIGNA COM LESAO INVASIVA DO TECIDO CONJUNTIVO E DOS TECIDOS MOLES
1183,C499,NEOPLASIA MALIGNA DO TECIDO CONJUNTIVO E TECIDOS MOLES
1184,C50,NEOPLASIA MALIGNA DA MAMA
1185,C500,NEOPLASIA MALIGNA DO MAMILO E AREOLA
1186,C501,NEOPLASIA MALIGNA DA PORCAO CENTRAL DA MAMA
1187,C502,NEOPLASIA MALIGNA DO QUADRANTE SUPERIOR INTERNO DA MAMA
1188,C503,NEOPLASIA MALIGNA DO QUADRANTE INFERIOR INTERNO DA MAMA
1189,C504,NEOPLASIA MALIGNA DO QUADRANTE SUPERIOR EXTERNO DA MAMA
1190,C505,NEOPLASIA MALIGNA DO QUADRANTE INFERIOR EXTERNO DA MAMA
1191,C506,NEOPLASIA MALIGNA DA PORCAO AXILAR DA MAMA
1192,C508,NEOPLASIA MALIGNA COM LESAO INVASIVA DA MAMA
1193,C509,"NEOPLASIA MALIGNA DA MAMA, NE"
1194,C51,NEOPLASIA MALIGNA DA VULVA
1195,C510,NEOPLASIA MALIGNA DOS GRANDES LABIOS
1196,C511,NEOPLASIA MALIGNA DOS PEQUENOS LABIOS
1197,C512,NEOPLASIA MALIGNA DO CLITORIS
1198,C518,NEOPLASIA MALIGNA COM LESAO INVASIVA DA VULVA
1199,C519,"NEOPLASIA MALIGNA DA VULVA, NE"
1200,C52,NEOPLASIA MALIGNA DA VAGINA
1201,C520,NEOPL MALIG DA VAGINA
1202,C53,NEOPLASIA MALIGNA DO COLO DO UTERO
1203,C530,NEOPLASIA MALIGNA DO ENDOCERVIX
1204,C531,NEOPLASIA MALIGNA DO EXOCERVIX
1205,C538,NEOPLASIA MALIGNA COM LESAO INVASIVA DO COLO DO UTERO
1206,C539,"NEOPLASIA MALIGNA DO COLO DO UTERO, NE"
1207,C54,NEOPLASIA MALIGNA DO CORPO DO UTERO
1208,C540,ISTMO DO UTERO
1209,C541,NEOPLASIA MALIGNA DO ENDOMETRIO
1210,C542,NEOPLASIA MALIGNA DO MIOMETRIO
1211,C543,NEOPLASIA MALIGNA DO FUNDO DO UTERO
1212,C548,NEOPLASIA MALIGNA COM LESAO INVASIVA DO CORPO DO UTERO
1213,C549,"NEOPLASIA MALIGNA DO CORPO DO UTERO, NE"
1214,C55,"NEOPLASIA MALIGNA DO UTERO, PORCAO NAO ESPECIFICADA"
1215,C550,NEOPL MALIG DO UTERO PORCAO NE
1216,C56,NEOPLASIA MALIGNA DO OVARIO
1217,C560,NEOPL MALIG DO OVARIO
1218,C57,NEOPLASIA MALIGNA DE OUTROS ORGAOS GENITAIS FEMININOS E DOS NAO ESPECIFICADOS
1219,C570,NEOPLASIA MALIGNA DA TROMPA DE FALOPIO
1220,C571,NEOPLASIA MALIGNA DO LIGAMENTO LARGO
1221,C572,NEOPLASIA MALIGNA DO LIGAMENTO REDONDO
1222,C573,NEOPLASIA MALIGNA DO PARAMETRIO
1223,C574,NEOPLASIA MALIGNA DOS ANEXOS UTERINOS
1224,C577,NEOPLASIA MALIGNA DE OUTRAS PARTES ESPECIFICADAS DOS ORGAOS GENITAIS FEMININOS
1225,C578,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS ORGAOS GENITAIS FEMININOS
1226,C579,"NEOPLASIA MALIGNA DO ORGAO GENITAL FEMININO, NE"
1227,C58,NEOPLASIA MALIGNA DA PLACENTA
1228,C580,NEOPL MALIG DA PLACENTA
1229,C60,NEOPLASIA MALIGNA DO PENIS
1230,C600,NEOPLASIA MALIGNA DO PREPUCIO
1231,C601,NEOPLASIA MALIGNA DA GLANDE
1232,C602,NEOPLASIA MALIGNA DO CORPO DO PENIS
1233,C608,NEOPLASIA MALIGNA COM LESAO INVASIVA DO PENIS
1234,C609,"NEOPLASIA MALIGNA DO PENIS, NE"
1235,C61,NEOPLASIA MALIGNA DA PROSTATA
1236,C610,NEOPL MALIG DA PROSTATA
1237,C62,NEOPLASIA MALIGNA DOS TESTICULOS
1238,C620,NEOPLASIA MALIGNA DO TESTICULO CRIPTORQUIDICO
1239,C621,NEOPLASIA MALIGNA DO TESTICULO TOPICO
1240,C629,"NEOPLASIA MALIGNA DO TESTICULO, SEM OUTRAS ESPECIFICACOES"
1241,C63,NEOPLASIA MALIGNA DE OUTROS ORGAOS GENITAIS MASCULINOS E DOS NAO ESPECIFICADOS
1242,C630,NEOPLASIA MALIGNA DO EPIDIDIMO
1243,C631,NEOPLASIA MALIGNA DO CORDAO ESPERMATICO
1244,C632,NEOPLASIA MALIGNA DO ESCROTO
1245,C637,NEOPLASIA MALIGNA DE OUTROS ORGAOS GENITAIS MASCULINOS ESPECIFICADOS
1246,C638,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS ORGAOS GENITAIS MASCULINOS
1247,C639,"NEOPLASIA MALIGNA DO ORGAO GENITAL MASCULINO, NE"
1248,C64,"NEOPLASIA MALIGNA DO RIM, EXCETO PELVE RENAL"
1249,C640,NEOPL MALIG DO RIM EXCETO PELVE RENAL
1250,C65,NEOPLASIA MALIGNA DA PELVE RENAL
1251,C650,NEOPL MALIG DA PELVE RENAL
1252,C66,NEOPLASIA MALIGNA DOS URETERES
1253,C660,NEOPL MALIG DOS URETERES
1254,C67,NEOPLASIA MALIGNA DA BEXIGA
1255,C670,NEOPLASIA MALIGNA DO TRIGONO DA BEXIGA
1256,C671,NEOPLASIA MALIGNA DA CUPULA DA BEXIGA
1257,C672,NEOPLASIA MALIGNA DA PAREDE LATERAL DA BEXIGA
1258,C673,NEOPLASIA MALIGNA DA PAREDE ANTERIOR DA BEXIGA
1259,C674,NEOPLASIA MALIGNA DA PAREDE POSTERIOR DA BEXIGA
1260,C675,NEOPLASIA MALIGNA DO COLO DA BEXIGA
1261,C676,NEOPLASIA MALIGNA DO ORIFICIO URETERICO
1262,C677,NEOPLASIA MALIGNA DO URACO
1263,C678,NEOPLASIA MALIGNA COM LESAO INVASIVA DA BEXIGA
1264,C679,"NEOPLASIA MALIGNA DA BEXIGA, SEM OUTRA ESPECIFICACOE"
1265,C68,NEOPLASIA MALIGNA DE OUTROS ORGAOS URINARIOS E DOS NAO ESPECIFICADOS
1266,C680,NEOPLASIA MALIGNA DA URETRA
1267,C681,NEOPLASIA MALIGNA DA GLANDULA PARAURETRAL
1268,C688,NEOPLASIA MALIGNA COM LESAO INVASIVA DOS ORGAOS URINARIOS
1269,C689,"NEOPLASIA MALIGNA DA ORGAO URINARIO, NE"
1270,C69,NEOPLASIA MALIGNA DO OLHO E ANEXOS
1271,C690,NEOPLASIA MALIGNA DA CONJUNTIVA
1272,C691,NEOPLASIA MALIGNA DA CORNEA
1273,C692,NEOPLASIA MALIGNA DA RETINA
1274,C693,NEOPLASIA MALIGNA DA COROIDE
1275,C694,NEOPLASIA MALIGNA DA CORPO CILIAR
1276,C695,NEOPLASIA MALIGNA DA GLANDULA E CANAL LACRIMAL
1277,C696,NEOPLASIA MALIGNA DA ORBITA
1278,C698,NEOPLASIA MALIGNA COM LESAO INVASIVA DO OLHO E ANEXOS
1279,C699,"NEOPLASIA MALIGNA DO OLHO, NE"
1280,C70,NEOPLASIA MALIGNA DAS MENINGES
1281,C700,NEOPLASIA MALIGNA DAS MENINGES CEREBRAIS
1282,C701,NEOPLASIA MALIGNA DAS MENINGES ESPINHAIS
1283,C709,"NEOPLASIA MALIGNA DA MENINGE, NE"
1284,C71,NEOPLASIA MALIGNA DO ENCEFALO
1285,C710,"NEOPLASIA MALIGNA DO CEREBRO, EXCETO LOBOS E VENTRICULOS"
1286,C711,NEOPLASIA MALIGNA DO LOBO FRONTAL
1287,C712,NEOPLASIA MALIGNA DO LOBO TEMPORAL
1288,C713,NEOPLASIA MALIGNA DO LOBO PARIETAL
1289,C714,NEOPLASIA MALIGNA DO LOBO OCCIPITAL
1290,C715,NEOPLASIA MALIGNA DO VENTRICULO CEREBRAL
1291,C716,NEOPLASIA MALIGNA DO CEREBELO
1292,C717,NEOPLASIA MALIGNA DO TRONCO CEREBRAL
1293,C718,NEOPLASIA MALIGNA COM LESAO INVASIVA DO ENCEFALO
1294,C719,"NEOPLASIA MALIGNA DO ENCEFALO, NE"
1295,C72,"NEOPLASIA MALIGNA DA MEDULA ESPINHAL, NERVOS CRANIANOS E OUTRAS PARTES DO SIST"
1296,C720,NEOPLASIA MALIGNA DA MEDULA ESPINHAL
1297,C721,NEOPLASIA MALIGNA DA CAUDA EQUINA
1298,C722,NEOPLASIA MALIGNA DO NERVO OLFATIVO
1299,C723,NEOPLASIA MALIGNA DO NERVO OPTICO
1300,C724,NEOPLASIA MALIGNA DO NERVO ACUSTICO
1301,C725,NEOPLASIA MALIGNA DE OUTROS NERVOS CRANIANOS E OS NE
1302,C728,NEOPLASIA MALIGNA COM LESAO INVASIVA DO ENCEFALO E DE OUTRAS PARTES DO SISTEMA N
1303,C729,"NEOPLASIA MALIGNA DO SISTEMA NERVOSO CENTRAL, NE"
1304,C73,NEOPLASIA MALIGNA DA GLANDULA TIREOIDE
1305,C730,NEOPL MALIG DA GLAND TIREOIDE
1306,C74,NEOPLASIA MALIGNA DA GLANDULA SUPRA-RENAL
1307,C740,NEOPLASIA MALIGNA DO CORTEX DA SUPRA-RENAL
1308,C741,NEOPLASIA MALIGNA DA MEDULA DA SUPRA-RENAL
1309,C749,"NEOPLASIA MALIGNA DA GLANDULA SUPRA-RENAL, NE"
1310,C75,NEOPLASIA MALIGNA DE OUTRAS GLANDULAS ENDOCRINAS E DE ESTRUTURAS RELACIONADAS
1311,C750,NEOPLASIA MALIGNA DA GLANDULA PARATIREOIDE
1312,C751,NEOPLASIA MALIGNA DA GLANDULA HIPOFISE (PITUITARIA)
1313,C752,NEOPLASIA MALIGNA DO CONDUTO CRANIOFARINGEO
1314,C753,NEOPLASIA MALIGNA DA GLANDULA PINEAL
1315,C754,NEOPLASIA MALIGNA DO CORPO CAROTIDEO
1316,C755,NEOPLASIA MALIGNA DO CORPO AORTICO E OUTROS PARAGANGLIOS
1317,C758,"NEOPLASIA MALIGNA COM COMPROMETIMENTO PLURIGLANDULAR, SEM OUTRA ESPECIFICACAO"
1318,C759,NEOPLASIA MALIGNA DE GLANDULA ENDOCRINA
1319,C76,NEOPLASIA MALIGNA DE OUTRAS LOCALIZACOES E DE LOCALIZACOES MAL DEFINIDAS
1320,C760,"NEOPLASIA MALIGNA DA CABECA, FACE E PESCOCO"
1321,C761,NEOPLASIA MALIGNA DO TORAX
1322,C762,NEOPLASIA MALIGNA DO ABDOME
1323,C763,NEOPLASIA MALIGNA DA PELVE
1324,C764,NEOPLASIA MALIGNA DE MEMBRO SUPERIOR
1325,C765,NEOPLASIA MALIGNA DE MEMBRO INFERIOR
1326,C767,NEOPLASIA MALIGNA DE OUTRAS LOCALIZACOES MAL DEFINIDAS
1327,C768,NEOPLASIA MALIGNA COM LESAO INVASIVA DE OUTRAS LOCALIZACOES E DAS MAL DEFINIDAS
1328,C77,NEOPLASIA MALIGNA SECUNDARIA E NAO ESPECIFICADA DOS GANGLIOS LINFATICOS
1329,C770,"NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS DA CABECA, FACE"
1330,C771,NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS INTRATORACICOS
1331,C772,NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS INTRA-ABDOMINAIS
1332,C773,NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS AXILARES E DOS M
1333,C774,NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS INGUINAIS E DOS
1334,C775,NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS INTRAPELVICOS
1335,C778,NEOPLASIA MALIGNA SECUNDARIA E NE DOS GANGLIOS LINFATICOS DE MULTIPLAS REG
1336,C779,NEOPLASIA MALIGNA SECUNDARIA E NE DE GANGLIO LINFATICO NE
1337,C78,NEOPLASIA MALIGNA SECUNDARIA DOS ORGAOS RESPIRATORIOS E DIGESTIVOS
1338,C780,NEOPLASIA MALIGNA SECUNDARIA DOS PULMOES
1339,C781,NEOPLASIA MALIGNA SECUNDARIA DO MEDIASTINO
1340,C782,NEOPLASIA MALIGNA SECUNDARIA DA PLEURA
1341,C783,NEOPLASIA MALIGNA SECUNDARIA DE OUTROS ORGAOS RESPIRATORIOS E NE
1342,C784,NEOPLASIA MALIGNA SECUNDARIA DO INTESTINO DELGADO
1343,C785,NEOPLASIA MALIGNA SECUNDARIA DO INTESTINO GROSSO E DO RETO
1344,C786,NEOPLASIA MALIGNA SECUNDARIA DO RETROPERITONIO E DO PERITONIO
1345,C787,NEOPLASIA MALIGNA SECUNDARIA DO FIGADO
1346,C788,NEOPLASIA MALIGNA SECUNDARIA DE OUTROS ORGAOS DIGESTIVOS E NE
1347,C79,NEOPLASIA MALIGNA SECUNDARIA DE OUTRAS LOCALIZACOES
1348,C790,NEOPLASIA MALIGNA SECUNDARIA DO RIM E DA PELVE RENAL
1349,C791,"NEOPLASIA MALIGNA SECUNDARIA DA BEXIGA, DE OUTRO ORGAO URINARIO E NE"
1350,C792,NEOPLASIA MALIGNA SECUNDARIA DA PELE
1351,C793,NEOPLASIA MALIGNA SECUNDARIA DO ENCEFALO E DAS MENINGES CEREBRAIS
1352,C794,NEOPLASIA MALIGNA SECUNDARIA DE OUTRAS PARTES DO SISTEMA NERVOSO E NE
1353,C795,NEOPLASIA MALIGNA SECUNDARIA DOS OSSOS E DA MEDULA OSSEA
1354,C796,NEOPLASIA MALIGNA SECUNDARIA DO OVARIO
1355,C797,NEOPLASIA MALIGNA SECUNDARIA DAS GLANDULAS SUPRAR-RENAIS (ADRENAIS)
1356,C798,NEOPLASIA MALIGNA SECUNDARIA DE OUTRA LOCALIZACAO ESPECIFICADA
1357,C80,"NEOPLASIA MALIGNA, SEM ESPECIFICACAO DE LOCALIZACAO"
1358,C800,NEOPL MALIG S/ESPECIFICACAO DE LOCALIZ
1359,C81,DOENCA DE HODGKIN
1360,C810,"DOENCA DE HODGKIN, COM PREDOMINANCIA LINFOCITICA"
1361,C811,"DOENCA DE HODGKIN, COM ESCLEROSE NODULAR"
1362,C812,"DOENCA DE HODGKIN, COM CELULARIDADE MISTA"
1363,C813,"DOENCA DE HODGKIN, COM DEPLECAO LINFOCITICA"
1364,C817,OUTRA FORMA DA DOENCA DE HODGKIN
1365,C819,"DOENCA DE HODGKIN, NE"
1366,C82,"LINFOMA NAO-HODGKIN, FOLICULAR (NODULAR)"
1367,C820,"LINFOMA NAO-HODGKIN DE PEQUENAS CELULAS CLIVADAS, FOLICULAR"
1368,C821,"LINFOMA NAO-HODGKIN MISTO, DE PEQUENAS E GRANDES CELULAS CLIVADAS, FOLICULAR"
1369,C822,"LINFOMA NAO-HODGKIN DE GRANDES CELULAS, FOLICULAR"
1370,C827,"OUTROS TIPOS DE LINFOMA NAO-HODGKIN, FOLICULAR"
1371,C829,"LINFOMA NAO-HODGKIN, FOLICULAR, NE"
1372,C83,LINFOMA NAO-HODGKIN DIFUSO
1373,C830,LINFOMA NAO-HODGKIN DE PEQUENAS CELULAS (DIFUSO)
1374,C831,LINFOMA NAO-HODGKIN DE PEQUENAS CELULAS CLIVADAS (DIFUSO)
1375,C832,"LINFOMA NAO-HODGKIN MISTO, DE PEQUENAS E GRANDES CELULAS (DIFUSO)"
1376,C833,LINFOMA NAO-HODGKIN DE GRANDES CELULAS (DIFUSO)
1377,C834,LINFOMA NAO-HODGKIN IMUNOBLASTICO (DIFUSO)
1378,C835,LINFOMA NAO-HODGKIN LINFOBLASTICO (DIFUSO)
1379,C836,LINFOMA NAO-HODGKIN INDIFERENCIADO (DIFUSO)
1380,C837,TUMOR DE BURKITT
1381,C838,OUTROS TIPOS DE LINFOMA NAO-HODGKIN DIFUSO
1382,C839,"LINFOMA NAO-HODGKIN DIFUSO, NE"
1383,C84,LINFOMAS DE CELULAS T CUTANEAS E PERIFERICAS
1384,C840,MICOSE FUNGOIDE
1385,C841,DOENCA DE SEZARY
1386,C842,LINFOMA DA ZONA T
1387,C843,LINFOMA LINFOEPITELIOIDE
1388,C844,"LINFOMA DE CELULAS T, PERIFERICO"
1389,C845,OUTROS LINFOMAS DE CELULAS T E OS NE
1390,C85,LINFOMA NAO-HODGKIN DE OUTROS TIPOS E DE TIPO NAO ESPECIFICADO
1391,C850,LINFOSSARCOMA
1392,C851,"LINFOMA DE CELULAS B, NAO ESPECIFICADO"
1393,C857,OUTROS TIPOS ESPECIFICADOS DE LINFOMA NAO-HODGKIN
1394,C859,LINFOMA NAO-HODGKIN DE TIPO NAO ESPECIFICADO
1395,C88,DOENCAS IMUNOPROLIFERATIVAS MALIGNAS
1396,C880,MACROGLOBULINEMIA DE WALDENSTRUM
1397,C881,DOENCA DE CADEIA PESADA ALFA
1398,C882,DOENCA DE CADEIA PESADA GAMA
1399,C883,DOENCA IMUNOPROLIFERATIVA DO INTESTINO DELGADO
1400,C887,OUTRAS DOENCAS IMUNOPROLIFERATIVAS MALIGNAS
1401,C889,"DOENCA IMUNOPROLIFERATIVA MALIGNA, NE"
1402,C90,MIELOMA MULTIPLO E NEOPLASIAS MALIGNAS DE PLASMOCITOS
1403,C900,MIELOMA MULTIPLO
1404,C901,LEUCEMIA PLASMOCITARIA
1405,C902,PLASMOCITOMA EXTRAMEDULAR
1406,C91,LEUCEMIA LINFOIDE
1407,C910,LEUCEMIA LINFOBLASTICA AGUDA
1408,C911,LEUCEMIA LINFOCITICA CRONICA
1409,C912,LEUCEMIA LINFOCITICA SUBAGUDA
1410,C913,LEUCEMIA PRO-LINFOCITICA
1411,C914,LEUCEMIA DE CELULAS PILOSAS
1412,C915,LEUCEMIA DE CELULAS T DO ADULTO
1413,C917,OUTRAS LEUCEMIAS LINFOIDES
1414,C919,LEUCEMIA LINFOIDE NE
1415,C92,LEUCEMIA MIELOIDE
1416,C920,LEUCEMIA MIELOIDE AGUDA
1417,C921,LEUCEMIA MIELOIDE CRONICA
1418,C922,LEUCEMA MIELOIDE SUBAGUDA
1419,C923,SARCOMA MIELOIDE
1420,C924,LEUCEMIA PRO-MIELOCITICA AGUDA
1421,C925,LEUCEMIA MIELOMONOCITICA AGUDA
1422,C927,OUTRAS LEUCEMIAS MIELOIDES
1423,C929,"LEUCEMIA MIELOIDE, NE"
1424,C93,LEUCEMIA MONOCITICA
1425,C930,LEUCEMIA MONOCITICA AGUDA
1426,C931,LEUCEMIA MONOCITICA CRONICA
1427,C932,LEUCEMIA MONOCITICA SUBAGUDA
1428,C937,OUTRAS LEUCEMIAS MONOCITICAS
1429,C939,"LEUCEMIA MONOCITICA, NE"
1430,C94,OUTRAS LEUCEMIAS DE CELULAS DE TIPO ESPECIFICADO
1431,C940,ERITREMIA E ERITROLEUCEMIA AGUDAS
1432,C941,ERITREMIA CRONICA
1433,C942,LEUCEMIA MEGACARIOBLASTICA AGUDA
1434,C943,LEUCEMIA DE MASTOCITOS
1435,C944,PANMIELOSE AGUDA
1436,C945,MIELOFIBROSE AGUDA
1437,C947,OUTRAS LEUCEMIAS ESPECIFICADAS
1438,C95,LEUCEMIA DE TIPO CELULAR NAO ESPECIFICADO
1439,C950,LEUCEMIA AGUDA DE TIPO CELULAR NE
1440,C951,LEUCEMIA CRONICA DE TIPO CELULAR NE
1441,C952,LEUCEMIA SUBAGUDA DE TIPO CELULAR NE
1442,C957,OUTRAS LEUCEMIAS DE TIPO CELULAR NE
1443,C959,LEUCEMIA NE
1444,C96,"OUTRAS NEOPLASIAS MALIGNAS E AS NAO ESPECIFICADAS DOS TECIDOS LINFATICO, HEMAT"
1445,C960,DOENCA DE LETTERER-SIWE
1446,C961,HISTIOCITOSE MALIGNA
1447,C962,TUMOR MALIGNO DE MASTOCITOS
1448,C963,LINFOMA HISTIOCITICO VERDADEIRO
1449,C967,"OUTRAS NEOPLASIAS MALIGNAS ESPECIFICADAS DOS TECIDOS LINFATICO, HEMATOPOETICO E"
1450,C969,"NEOPLASIA MALIGNA TECIDOS LINFATICOS, HEMATOPOETICOS E TECIDOS CORRELATOS NAO ESPECIFICADOS"
1451,C97,NEOPLASIAS MALIGNAS DE LOCALIZACOES MULTIPLAS INDEPENDENTES (PRIMARIAS)
1452,C970,NEOPL MALIG DE LOCALIZ MULT INDEPENDENTES
1453,D00,"CARCIMONA IN SITU DA CAVIDADE ORAL, DO ESOFAGO E DO ESTOMAGO"
1454,D000,"CARCINOMA IN SITU DOS LABIOS, CAVIDADE ORAL E FARINGE"
