cid_10,descritor_cid
G432,ESTADO DE MAL ENXAQUECOSO
G433,ENXAQUECA COMPLICADA
G438,OUTRAS FORMAS DE ENXAQUECAS
G439,"ENXAQUECA, SEM ESPECIFICACAO"
G44,OUTRAS SINDROMES DE ALGIAS CEFALICAS
G440,"SINDROME DE ""CLUSTER-HEADACHE"""
G441,"CEFALEIA VASCULAR, NAO CLASSIFICADA EM OUTRA PARTE"
G442,CEFALEIA TENSIONAL
G443,CEFALEIA CRONICA POS-TRAUMATICA
G444,"CEFALEIA INDUZIDA POR DROGAS, NAO ESPECIFICADA EM OUTRA PARTE"
G448,OUTRAS SINDROMES DE CEFALEIA ESPECIFICADAS
G45,ACIDENTES VASCULARES CEREBRAIS ISQUEMICOS TRANSITORIOS E SINDROMES CORRELATAS
G450,SINDROME DA ARTERIA VERTEBRO-BASILAR
G451,SINDROME DA ARTERIA CAROTIDEA (HEMISFERICA)
G452,"SINDROME DAS ARTERIAS PRE-CEREBRAIS, MULTIPLAS E BILATERAIS"
G453,AMAUROSE FUGAZ
G454,AMNESIA GLOBAL TRANSITORIA
G458,OUTROS ACIDENTES ISQUEMICOS CEREBRAIS TRANSITORIOS E SINDROMES CORRELATAS
G459,ISQUEMIA CEREBRAL TRANSITORIA NAO ESPECIFICADA
G46,SINDROMES VASCULARES CEREBRAIS QUE OCORREM EM DOENCAS CEREBROVASCULARES (I60-I
G460,SINDROME DA ARTERIA CEREBRAL MEDIA (I66 0+)
G461,SINDROME DA ARTERIA CEREBRAL ANTERIOR I66 1+)
G462,SINDROME DA ARTERIA CEREBRAL POSTERIOR (I66 2+)
G463,SINDROMES VASCULARES DO TRONCO CEREBRAL (I60-I67+)
G464,SINDROME VASCULAR CEREBELAR (I60-I67+)
G465,SINDROME LACUNAR MOTORA PURA (I60-I67+)
G466,SINDROME LACUNAR SENSORIAL PURA (I60-I67+)
G467,OUTRAS SINDROMES LACUNARES (I60-I67+)
G468,OUTRAS SINDROMES VASCULARES CEREBRAIS EM DOENCAS CEREBROVASCULARES (I60-I67+)
G47,DISTURBIOS DO SONO
G470,DISTURBIOS DO INICIO E DA MANUTENCAO DO SONO {INSONIAS}
G471,DISTURBIOS DO SONO POR SONOLENCIA EXCESSIVA {HIPERSONIA}
G472,DISTURBIOS DO CICLO VIGILIA-SONO
G473,APNEIA DE SONO
G474,NARCOLEPSIA E CATAPLEXIA
G478,OUTROS DISTURBIOS DO SONO
G479,"DISTURBIO DO SONO, NAO ESPECIFICADO"
G50,TRANSTORNOS DO NERVO TRIGEMEO
G500,NEVRALGIA DO TRIGEMEO
G501,DOR FACIAL ATIPICA
G508,OUTROS TRANSTORNOS DO NERVO TRIGEMEO
G509,TRANSTORNO NAO ESPECIFICADO DO NERVO TRIGEMEO
G51,TRANSTORNOS DO NERVO FACIAL
G510,PARALISIA DE BELL
G511,GANGLIONITE GENICULADA
G512,SINDROME DE MELKERSSON
G513,ESPASMO HEMIFACIAL CLONICO
G514,MIOQUIMIA FACIAL
G518,OUTROS TRANSTORNOS DO NERVO FACIAL
G519,TRANSTORNO NAO ESPECIFICADO DO NERVO FACIAL
G52,TRANSTORNOS DE OUTROS NERVOS CRANIANOS
G520,TRANSTORNO DO NERVO OLFATORIO
G521,TRANSTORNOS DO NERVO GLOSSOFARINGEO
G522,TRANSTORNOS DO NERVO VAGO
G523,TRANSTORNOS DO NERVO HIPOGLOSSO
G527,TRANSTORNOS DE MULTIPLOS NERVOS CRANIANOS
G528,TRANSTORNOS DE OUTROS NERVOS CRANIANOS E ESPECIFICADOS
G529,TRANSTORNO DO NERVO CRANIANO NAO ESPECIFICADO
G53,TRANSTORNOS DOS NERVOS CRANIANOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G530,NEVRALGIA POS-ZOSTER (B02 2+)
G531,PARALISIAS DE MULT NERVOS CRAN DOENCAS INFEC E PARAS CLASS OUTRA PARTE(AOO-B99+)
G532,PARALISIAS DE MULTIPLOS NERVOS CRANIANOS NA SARCOIDOSE (D86 8+)
G533,PARALISIAS DE MULTIPLOS NERVOS CRANIANOS EM DOENCAS NEOPLASTICAS (C00-D48+)
G538,OUTROS TRANSTORNOS DE NERVOS CRANIANOS EM OUTRAS DOENCAS CLASSIF  EM OUTRA PARTE
G54,TRANSTORNOS DAS RAIZES E DOS PLEXOS NERVOSOS
G540,TRANSTORNOS DO PLEXO BRAQUIAL
G541,TRANSTORNOS DO PLEXO LOMBOSSACRAL
G542,TRANSTORNOS DAS RAIZES CERVICAIS NAO CLASSIFICADAS EM OUTRA PARTE
G543,TRANSTORNOS DAS RAIZES TORACICAS NAO CLASSIFICADAS EM OUTRA PARTE
G544,TRANSTORNOS DAS RAIZES LOMBOSSACRAS NAO CLASSIFICADAS EM OUTRA PARTE
G545,AMIOTROFIA NEVRALGICA
G546,SINDROME DOLOROSA DO MEMBRO FANTASMA
G547,SINDROME DO MEMBRO FANTASMA SEM MANIFESTACAO DOLOROSA
G548,OUTROS TRANSTORNOS DAS RAIZES E DOS PLEXOS NERVOSOS
G549,TRANSTORNO NAO ESPECIFICADO DAS RAIZES E DOS PLEXOS NERVOSOS
G55,COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM DOENCAS CLASSIFICADAS EM OUTRA
G550,COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS EM DOENCAS NEOPLASICAS (C00-D48+)
G551,COMPRESSOES DAS RAIZES E DOS PLEXOS NERV EM TRANST DOS DISCOS INTERV (M50-M51+)
G552,COMPRESSOES DAS RAIZES E DOS PLEXOS NERVOSOS NA ESPONDILOSE (M47 -+)
G553,"COMPRESSOES RAIZES E DOS PLEXOS NERV EM OUTRAS DORSOP (M45-M46+,M48 -+M53-M54+)"
G558,COMPRESSOES DAS RAIZES E DOS PLEXOS NERV EM OUTRAS DOENCAS CLASSIF EM OU/PARTE
G56,MONONEUROPATIAS DOS MEMBROS SUPERIORES
G560,SINDROME DO TUNEL DO CARPO
G561,OUTRAS LESOES DO NERVO MEDIANO
G562,LESOES DO NERVO CUBITAL {ULNAR}
G563,LESAO DO NERVO RADIAL
G564,CAUSALGIA
G568,OUTRAS MONONEUROPATIA DOS MEMBROS SUPERIORES
G569,"MONONEUROPATIA DOS MEMBROS SUPERIORES, NAO ESPECIFICADA"
G57,MONONEUROPATIAS DOS MEMBROS INFERIORES
G570,LESAO DO NERVO CIATICO
G571,MERALGIA PARESTESICA
G572,LESAO DO NERVO FEMORAL
G573,LESAO DO NERVO POPLITEO LATERAL
G574,LESAO DO NERVO POPLITEO MEDIAL
G575,SINDROME DO TUNEL DO TARSO
G576,LESAO DO NERVO PLANTAR
G578,OUTRAS MONONEUROPATIAS DOS MEBROS INFERIORES
G579,"MONONEUROPATIA DOS MEMBROS INFERIORES, NAO ESPECIFICADA"
G58,OUTRAS MONONEUROPATIAS
G580,NEUROPATIA INTERCOSTAL
G587,MONONEURITE MULTIPLA
G588,OUTRAS MONONEUROPATIAS ESPECIFICADAS
G589,"MONONEUROPATIA, NAO ESPECIFICADA"
G59,MONONEUROPATIAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G590,MONONEUROPATIA DIABETICA (E10-E14+ COM QUARTO CARATER COMUM 4)
G598,OUTRAS MONONEUROPATIAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G60,NEUROPATIA HEREDITARIA E IDIOPATICA
G600,NEUROPATIA HEREDITARIA MOTORA E SENSORIAL
G601,DOENCA DE REFSUM
G602,NEUROPATIA ASSOCIADA A ATAXIA HEREDITARIA
G603,NEUROPATIA PROGRESSIVA IDIOPATICA
G608,OUTRAS NEUROPATIAS HEREDITARIAS E IDIOPATICAS
G609,NEUROPATIA HEREDITARIA E IDIOPATICA NAO ESPECIFICADA
G61,POLINEUROPATIA INFLAMATORIA
G610,SINDROME DE GUILLAIN-BARRE
G611,NEUROPATIA SERICA
G618,OUTRAS POLINEUROPATIAS INFLAMATORIAS
G619,POLINEUROPATIA INFLAMATORIA NAO ESPECIFICADA
G62,OUTRAS POLINEUROPATIAS
G620,POLINEUROPATIA INDUZIDA POR DROGAS
G621,POLINEUROPATIA ALCOOLICA
G622,POLINEUROPATIA DEVIDA A OUTROS AGENTES TOXICOS
G628,OUTRAS POLINEUROPATIAS ESPECIFICADAS
G629,POLINEUROPATIA NAO ESPECIFICADA
G63,POLINEUROPATIA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G630,POLINEUROPATIA EM DOENCAS INFEC E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE
G631,POLINEUROPATIA EM DOENCAS NEOPLASICAS (C00-D48+)
G632,POLINEUROPATIA DIABETICA (E10-E14+ COM QUARTO CARATER COMUM 4)
G633,"POLINEUROPATIA EM OUTRAS DOEN ENDOC E METAB (E00-E07+,E15-E16+,E20-E34+,E70-E89+"
G634,POLINEUROPATIA EM DEFICIENCIAS NUTRICIONAIS (E40-E64+)
G635,POLINEUROPATIA EM DOENCAS SISTEMICAS DO TECIDO CONJUNTIVO (M30-M35+)
G636,"POLINEUROPATIA EM OUTROS TRANSTORNOS OSTEOMUSCULARES (M00-M25+, M40-M96+)"
G638,POLINEUROPATIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
G64,OUTROS TRANSTORNOS DO SISTEMA NERVOSO PERIFERICO
G70,MIASTENIA GRAVIS E OUTROS TRANSTORNOS NEUROMUSCULARES
G700,MIASTENIA GRAVIS
G701,TRANSTORNOS MIONEURAIS TOXICOS
G702,MIASTENIA CONGENITA E DO DESENVOLVIMENTO
G708,OUTROS TRANSTORNOS MIONEURAIS ESPECIFICADOS
G709,TRANSTORNO MIONEURAL NAO ESPECIFICADO
G71,TRANSTORNOS PRIMARIOS DOS MOSCULOS
G710,DISTROFIA MUSCULAR
G711,"TRANSTORNOS ,MIOTONICOS"
G712,MIOPATIAS CONGENITAS
G713,"MIOPATIA MITOCONDRIAL, NAO CLASSIFICADA EM OUTRA PARTE"
G718,OUTROS TRANSTORNOS PRIMARIOS DOS MUSCULOS
G719,"TRANSTORNO MUSCULAR PRIMARIO, NAO ESPECIFICADO"
G72,OUTRAS MIOPATIAS
G720,MIOPATIA INDUZIDA POR DROGAS
G721,MIOPATIA ALCOOLICA
G722,MIOPATIA DEVIDA A OUTROS AGENTES TOXICOS
G723,PARALISIA PERIODICA
G724,"MIOPATIA INFLAMATORIA, NAO CLASSIFICADA EM OUTRA PARTE"
G728,OUTRAS MIOPATIAS ESPECIFICADAS
G729,"MIOPATIA, NAO ESPECIFICADA"
G73,TRANSTORNOS DA JUNCAO MIONEURAL E DOS MOSCULOS EM DOENCAS CLASSIFICADAS EM OUT
G730,SINDROMES MIASTENICAS EM DOENCAS ENDOCRINAS
G731,SINDROME DE EATON-LAMBERT (C80+)
G732,OUTRAS SINDROMES MIASTENICAS EM DOENCAS NEOPLASICAS (C00-D48+)
G733,SINDROMES MIASTENICAS EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
G734,MIOPATIA EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE
G735,MIOPATIA EM DOENCAS ENDOCRINAS
G736,MIOPATIA EM DOENCAS METABOLICAS
G737,MIOPATIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
G80,PARALISIA CEREBRAL INFANTIL
G800,PARALISIA CEREBRAL QUADRIPLEGICA ESPASTICA
G801,PARALISIA CEREBRAL DIPLEGICA ESPASTICA
G802,PARALISIA CEREBRAL HEMIPLEGICA ESPASTICA
G803,PARALISIA CEREBRAL DISCINETICA
G804,PARALISIA CEREBRAL ATAXICA
G808,OUTRAS FORMAS DE PARALISIA CEREBRAL INFANTIL
G809,PARALISIA CEREBRAL INFANTIL NAO ESPECIFICADA
G81,HEMIPLEGIA
G810,HEMIPLEGIA FLACIDA
G811,HEMIPLEGIA ESPASTICA
G819,HEMIPLEGIA NAO ESPECIFICADA
G82,PARAPLEGIA E TETRAPLEGIA
G820,PARAPLEGIA FLACIDA
G821,PARAPLEGIA ESPASTICA
G822,"PARAPLEGIA, NAO ESPECIFICADA"
G823,TETRAPLEGIA FLACIDA
G824,TETRAPLEGIA ESPASTICA
G825,"TETRAPLEGIA, NAO ESPECIFICADA"
G83,OUTRAS SINDROMES PARALITICAS
G830,DIPLEGIA DOS MEMBROS SUPERIORES
G831,MENOPLEGIA DO MEMBRO INFERIOR
G832,MENOPLEGIA DO MEMBRO SUPERIOR
G833,"MENOPLEGIA, NAO ESPECIFICADA"
G834,SINDROME DA CAUDA EQUINA
G838,OUTRAS SINDROMES PARALITICAS ESPECIFICADAS
G839,"SINDROME PARALITICA, NAO ESPECIFICADA"
G90,TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO
G900,NEUROPATIA AUTONOMICA PERIFERICA IDIOPATICA
G901,DISAUTONOMIA FAMILIAR {SINDROME DE RILEY-DAY}
G902,SINDROME DE HORNER
G903,DEGENERACAO MULTISSISTEMICA
G904,DISREFLEXIA AUTONôMICA
G908,OUTROS TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO
G909,TRANSTORNO NAO ESPECIFICADO DO SISTEMA NERVOSO AUTONOMO
G91,HIDROCEFALIA
G910,HIDROCEFALIA COMUNICANTE
G911,HIDROCEFALIA OBSTRUTIVA
G912,HIDROCEFALIA DE PRESSAO NORMAL
G913,HIDROCEFALIA POS-TRAUMATICA NAO ESPECIFICADA
G918,OUTRAS FORMAS DE HIDROCEFALIA
G919,HIDROCEFALIA NAO ESPECIFICADA
G92,ENCEFALOPATIA TOXICA
G93,OUTROS TRANSTORNOS DO ENCEFALO
G930,CISTOS CEREBRAIS
G931,"LESAO ENCEFALICA ANOXICA, NAO CLASSIFICADA EM OUTRA PARTE"
G932,HIPERTENSAO INTRACRANIANA BENIGNA
G933,SINDROME DA FADIGA POS-VIRAL
G934,ENCEFALOPATIA NAO ESPECIFICADA
G935,COMPRESSAO DO ENCEFALO
G936,EDEMA CEREBRAL
G937,SINDROME DE REYE
G938,OUTROS TRANSTORNOS ESPECIFICADOS DO ENCEFALO
G939,TRANSTORNO NAO ESPECIFICADO DO ENCEFALO
G94,OUTROS TRANSTORNOS DO ENCEFALO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G940,HIDROCEFALIA EM DOENCAS INFECCIOSAS E PARASIT CLASSIF EM OUTRA PARTE (A00-B99+)
G941,HIDROCEFALIA EM DOENCAS NEOPLASICAS (C00-D48+)
G942,HIDROCEFALIA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
G948,OUTROS TRANSTORNOS ENCEFALICOS ESPECIFICADOS EM DOENCAS CLASSIF EM OUTRA PARTE
G95,OUTRAS DOENCAS DA MEDULA ESPINAL
G950,SIRINGOMIELIA E SIRINGOBULBIA
G951,MIELOPATIAS VASCULARES
G952,COMPRESSAO NAO ESPECIFICADA DE MEDULA ESPINAL
G958,OUTRAS DOENCAS ESPECIFICADAS DA MEDULA ESPINAL
G959,DOENCA NAO ESPECIFICADA DA MEDULA ESPINAL
G96,OUTROS TRANSTORNOS DO SISTEMA NERVOSO CENTRAL
G960,FISTULA LIQUORICA
G961,"TRANSTORNOS DAS MENINGES, NAO CLASSIFICADAS EM OUTRA PARTE"
G968,OUTROS TRANSTORNOS ESPECIFICADOS DO SISTEMA NERVOSO CENTRAL
G969,TRANSTORNO NAO ESPECIFICADO DO SISTEMA NERVOSO CENTRAL
G97,TRANSTORNOS POS-PROCEDIMENTO DO SISTEMA NERVOSO NAO CLASSIFICADOS EM OUTRA PAR
G970,PERDA DE LIQUOR RESULTANTE DE PUNCAO ESPINAL
G971,OUTRA REACAO A PUNCAO ESPINAL E LOMBAR
G972,HIPOTENSAO INTRACRANIANA CONSEQUENTE A DERIVACAO VENTRICULAR
G978,OUTROS TRANSTORNOS POS-PROCEDIMENTO DO SISTEMA NERVOSO
G979,"TRANSTORNO POS-PROCEDIMENTO DO SISTEMA NERVOSO, NAO ESPECIFICADO"
G98,OUTROS TRANSTORNOS DO SISTEMA NERVOSO NAO CLASSIFICADOS EM OUTRA PARTE
G99,OUTROS TRANSTORNOS DO SISTEMA NERVOSO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G990,NEUROPATIA AUTONOMICA EM DOENCAS ENDOCRINAS E METABOLICAS
G991,OUTROS TRANSTORNOS DO SISTEMA NERVOSO AUTONOMO EM DOENCAS CLASSIF EM OUTRA PARTE
G992,MIELOPATIA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
G998,OUTROS TRANSTORNOS ESPECIF DO SISTEMA NERVOSO EM DOENCAS CLASSIF EM OUTRA PARTE
H00,HORDEOLO E CALAZIO
H000,HORDEOLO E OUTRAS INFLAMACOES PROFUNDAS DAS PALPEBRAS
H001,CALAZIO
H01,OUTRAS INFLAMACOES DA PALPEBRA
H010,BLEFARITE
H011,DERMATOSES NAO INFECCIOSAS DA PALPEBRA
H018,OUTRAS INFLAMACOES ESPECIFICADAS DA PALPEBRA
H019,INFLAMACAO NAO ESPECIFICADA DA PALPEBRA
H02,OUTROS TRANSTORNOS DA PALPEBRA
H020,ENTROPIO E TRIQUIASE DA PALPEBRA
H021,ECTROPIO DA PALPEBRA
H022,LAGOFTALMO
H023,BLEFAROCALASIA
H024,PTOSE DA PALPEBRA
H025,OUTROS TRANSTORNOS QUE AFETAM A FUNCAO DA PALPEBRA
H026,XANTELASMA DA PALPEBRA
H027,OUTROS TRANSTORNOS DEGENERATIVOS DA PALPEBRA E DA AREA PERIOCULAR
H028,OUTROS TRANSTORNOS ESPECIFICADOS DAS PALPEBRAS
H029,TRANSTORNO NAO ESPECIFICADO DA PALPEBRA
H03,TRANSTORNOS DA PALPEBRA EM DOENCAS CLASS.EM OUTRAS PARTES
H030,INFESTACAO PARASITARIA DA PALPEBRA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H031,COMPROMETIMENTO DA PALPEBRA EM OUTRAS DOENCAS INFECC CLASSIF EM OUTRA PARTE
H038,COMPROMETIMENTO DA PALPEBRA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
H04,TRANSTORNOS DO APARELHO LACRIMAL
H040,DACRIADENITE
H041,OUTROS TRANSTORNOS DA GLANDULA LACRIMAL
H042,EPIFORA
H043,INFLAMACAO AGUDA E NAO ESPECIFICADA DOS CANAIS LACRIMAIS
H044,INFLAMACAO CRONICA DOS CANAIS LACRIMAIS
H045,ESTENOSE E INSUFICIENCIA DOS CANAIS LACRIMAIS
H046,OUTRAS ALTERACOES NOS CANAIS LACRIMAIS
H048,OUTROS TRANSTORNOS DO APARELHO LACRIMAL
H049,TRANSTORNO NAO ESPECIFICADO DO APARELHO LACRIMAL
H05,TRANSTORNOS DA ORBITA
H050,INFLAMACAO AGUDA DA ORBITA
H051,TRANSTORNOS INFLAMATORIOS CRONICOS DA ORBITA
H052,AFECCOES EXOFTALMICAS
H053,DEFORMIDADE DA ORBITA
H054,ENOFTALMIA
H055,CORPO ESTRANHO(ANTIGO) RETIDO CONSEQUENTE A FERIMENTO PERFURANTE DA ORBITA
H058,OUTROS TRANSTORNOS DA ORBITA
H059,TRANSTORNO NAO ESPECIFICADO DA ORBITA
H06,TRANSTORNOS DO APARELHO LACRIMAL E DA ORBITA EM DOENCAS CLASS.EM OUTRA PARTE
H060,TRANSTORNOS DO APARELHO LACRIMAL EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H061,INFESTACAO PARASITARIA DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H062,EXOFTALMO DISTIREOIDEO (E05-+)
H063,OUTROS TRANSTORNOS DA ORBITA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H10,CONJUNTIVITE
H100,CONJUNTIVITE MUCOPURULENTA
H101,CONJUNTIVITE AGUDA ATOPICA
H102,OUTRAS CONJUNTIVITES AGUDAS
H103,CONJUNTIVITE AGUDA NAO ESPECIFICADA
H104,CONJUNTIVITE CRONICA
H105,BLEFAROCONJUNTIVITE
H108,OUTRAS CONJUNTIVITES
H109,CONJUNTIVITE NAO ESPECIFICADA
H11,OUTROS TRANSTORNOS DA CONJUNTIVA
H110,PTERIGIO
H111,DEGENERACOES E DEPOSITOS DA CONJUNTIVA
H112,CICATRIZES DA CONJUNTIVA
H113,HEMORRAGIA CONJUNTIVAL
H114,OUTROS TRANSTORNOS VASCULARES E CISTOS CONJUNTIVAIS
H118,OUTROS TRANSTORNOS ESPECIFICADOS DA CONJUNTIVA
H119,TRANSTORNO NAO ESPECIFICADO DA CONJUNTIVA
H13,TRANSTORNOS DA CONJUNTIVA EM DOENCAS CLASS.EM OUTRA PARTE
H130,INFESTACAO POR FILARIAS NA CONJUNTIVA (B74 -+)
H131,CONJUNTIVITE EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIF  EM OUTRA PARTE
H132,CONJUNTIVITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
H133,PENFIGOIDE OCULAR (L12 -+)
H138,OUTROS TRANSTORNOS DA CONJUNTIVA EM DOENAS CLASSIFICADAS EM OUTRA PARTE
H15,TRANSTORNOS DA ESCLEROTICA
H150,ESCLERITE
H151,EPISCLERITE
H158,OUTROS TRANSTORNOS DA ESCLEROTICA
H159,TRANSTORNO NAO ESPECIFICADO DA ESCLEROTICA
H16,CERATITE
H160,ULCERA DE CORNEA
H161,OUTRAS CERATITES SUPERFICIAIS SEM CONJUNTIVITE
H162,CERATOCONJUNTIVITE
H163,CERATITES INTERSTICIAL E PROFUNDA
H164,NEOVASCULARIZACAO DA CORNEA
H168,OUTRAS CERATITES
H169,CERATITE NAO ESPECIFICADA
H17,CICATRIZES E OPACIDADES DA CORNEA
H170,LEUCOMA ADERENTE
H171,OUTRA OPACIDADE CENTRAL DA CORNEA
H178,OUTRAS CICATRIZES E OPACIDADES DA CORNEA
H179,CICATRIZ E OPACIDADE NAO ESPECIFICADAS DA CORNEA
H18,OUTROS TRANSTORNOS DA CORNEA
H180,PIGMENTACOES E DEPOSITOS DA CORNEA
H181,CERATOPATIA BOLHOSA
H182,OUTROS EDEMAS DA CORNEA
H183,ALTERACOES NAS MEMBRANAS DA CORNEA
H184,DEGENERACOES DA CORNEA
H185,DISTROFIAS HEREDITARIAS DA CORNEA
H186,CERATOCONE
H187,OUTRAS DEFORMIDADES DA CORNEA
H188,OUTROS TRANSTORNOS ESPECIFICADOS DA CORNEA
H189,TRANSTORNO NAO ESPECIFICADO DA CORNEA
H19,TRANSTORNO DA ESCLEROTICA E DA CORNEA EM DOENCAS CLASS.EM OUTRA PARTE
H190,ESCLERITE E EPISCLERITE EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H191,CERATITE E CERATOCONJ EM OUTRAS DOENCAS INFEC E PARAS CLASSIF EM OUTRA PARTE
H192,CERATITE E CERATOCONJUNTIVITE EM OUTRAS DOENCAS INFECCIOSAS E PARASITARIAS CLASS
H193,CERATITE E CERATOCONJUNTIVITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
H198,OUTROS TRANSTORNOS DE ESCLEROTICA E DA CORNEA EM DOENCAS CLASSIF EM OUTRA PARTE
H20,IRIDOCICLITE
H200,IRIDOCICLITE AGUDA E SUBAGUDA
H201,IRIDOCICLITE CRONICA
H202,IRIDOCICLITE INDUZIDA PELO CRISTALINO
H208,OUTRAS IRIDOCLITES
H209,IRIDOCICLITE NAO ESPECIFICADA
H21,OUTROS TRANSTORNOS DA IRIS E DO CORPO CILIAR
H210,HIFEMA
H211,OUTROS TRANSTORNOS VASCULARES DA IRIS E DO CORPO CILIAR
H212,"DEGENERACOES DA IRIS, DO CORPO CILIAR"
H213,"CISTOS DA IRIS, DO CORPO CILIAR E DA CAMARA ANTERIOR"
H214,MEMBRANAS PUPILARES
H215,OUTRAS ADERENCIAS E RUPTURAS DA IRIS E DO CORPO CILIAR
H218,OUTROS TRANSTORNOS ESPECIFICADOS DA IRIS E DO CORPO CILIAR
H219,TRANSTORNO NAO ESPECIFICADO DA IRIS E DO CORPO CILIAR
H22,TRANSTORNOS DA IRIS E DO CORPO CILIAR EM DOENCAS CLASS.EM OUTRA PARTE
H220,IRIDOCICLITE EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIF EM OUTRA PARTE
H221,IRIDOCICLITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
H228,OUTROS TRANSTORNOS DA IRIS E DO CORPO   CILIAR EM DOENCAS CLASSIF EM OUTRA PARTE
H25,CATARATA SENIL
H250,CATARATA SENIL INCIPIENTE
H251,CATARATA SENIL NUCLEAR
H252,CATARATA SENIL TIPO MORGAGNI
H258,OUTRAS CATARATAS SENIS
H259,"CATARATA SENIL, NAO ESPECIFICADA"
H26,OUTRAS CATARATAS
H260,"CATARATA INFANTIL, JUVENIL E PRE-SENIL"
H261,CATARATA TRAUMATICA
H262,CATARATA COMPLICADA
H263,CATARATA INDUZIDA POR DROGAS
H264,POS-CATARATA
H268,OUTRAS CATARATAS ESPECIFICADAS
H269,CATARATA NAO ESPECIFICADA
H27,OUTROS TRANSTORNOS DO CRISTALINO
H270,AFACIA
H271,DESLOCAMENTO DO CRISTALINO
H278,OUTROS TRANSTORNOS ESPECIFICADOS DO CRISTALINO
H279,TRANSTORNO NAO ESPECIFICADO DO CRISTALINO
H28,CATARATA E OUTROS TRANSTORNOS DO CRISTALINO EM DOENCAS CLASS.EM OUTRA PARTE
H280,CATARATA DIABETICA (E10-E14+ COM QUARTO CARATER COMUM 3)
H281,"CATARATA EM OUTRAS DOENCAS ENDOCRINAS, NUTRICIONAIS E METABOLICAS"
H282,CATARATA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE
H288,OUTROS TRANSTORNOS DO CRISTALINO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H30,INFLAMACAO CORIORRETINIANA
H300,INFLAMACAO CORIORRENTINIANA FOCAL
H301,INFLAMACAO CORIORRETINIANA DISSEMINADA
H302,CICLITE POSTERIOR
H308,OUTRAS INFLAMACOES CORIORRETINIANAS
H309,INFLAMACAO NAO ESPECIFICADA DA COROIDE E DA RETINA
H31,OUTROS TRANSTORNOS DA COROIDE
H310,CICATRIZES CORIORRETINIANAS
H311,DEGENERACAO DA COROIDE
H312,DISTROFIA HEREDITARIA DA COROIDE
H313,HEMORRAGIA E RUPTURA DA COROIDE
H314,DESLOCAMENTO DA COROIDE
H318,OUTROS TRANSTORNOS ESPECIFICADOS DA COROIDE
H319,TRANSTORNO NAO ESPECIFICADO DA COROIDE
H32,TRANSTORNOS CORIORRETINIANOS EM DOENCAS CLASS.EM OUTRA PARTE
H320,INFLAMACAO CORIORRETINIANA EM DOENCAS INFECCIOSAS E PARAS CLASSIF EM OUTRA PARTE
H328,OUTROS TRANSTORNOS CORIORRETINIANOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE
H33,DESCOLAMENTOS E DEFEITOS DA RETINA
H330,DESCOLAMENTO DA RETINA COM DEFEITO RETINIANO
H331,RETINOSQUISE E CISTOS DA RETINA
H332,DESCOLAMENTO SEROSO DA RETINA
H333,DEFEITOS DA RETINA SEM DESCOLAMENTO
H334,DESCOLAMENTO DA RETINA POR TRACAO
H335,OUTROS DESCOLAMENTO DA RETINA
H34,OCLUSOES VASCULARES DA RETINA
H340,OCLUSAO ARTERIAL RETINIANA TRANSITORIA
H341,OCLUSAO DA ARTERIA RETINIANA CENTRAL
H342,OUTRAS OCLUSOES DA ARTERIA RETINIANA
H348,OUTRAS OCLUSOES VASCULARES RETINIANAS
H349,OCLUSAO VASCULAR RETINIANA NAO ESPECIFICADA
H35,OUTROS TRANSTORNOS DA RETINA
